transaction_id,Transaction_Date,Amount,Transaction_Type
57,2024-01-21 04:12:39.512393,308.14,Deposit
58,2024-01-06 05:19:54.157365,558.61,Withdrawal
59,2024-04-23 16:08:36.236129,813.38,Deposit
60,2024-02-18 19:47:11.820129,745.87,Withdrawal
61,2024-03-04 17:01:29.929209,618.7,Withdrawal
62,2024-03-18 22:55:33.459698,378.29,Deposit
63,2024-02-28 07:26:28.752094,997.29,Transfer
64,2024-02-09 23:53:20.646952,615.83,Deposit
65,2024-01-18 16:20:18.038914,522.92,Withdrawal
66,2024-04-08 14:52:24.099741,826.98,Deposit
67,2024-03-19 23:48:31.818997,610.59,Withdrawal
68,2024-03-17 18:10:26.091884,197.94,Deposit
69,2024-01-01 17:27:42.096179,372.28,Withdrawal
70,2024-01-25 11:51:01.184406,798.79,Transfer
71,2024-02-11 06:04:20.707290,159.92,Transfer
72,2024-02-01 11:41:42.952266,613.98,Deposit
73,2024-01-11 20:09:51.426865,297.55,Withdrawal
74,2024-03-26 17:17:18.259056,15.13,Transfer
75,2024-01-29 23:52:15.398981,997.2,Withdrawal
76,2024-01-18 00:25:13.586748,721.41,Deposit
77,2024-04-03 21:53:34.194741,268.94,Withdrawal
78,2024-04-05 22:02:15.134943,759.78,Transfer
79,2024-04-04 16:43:56.274359,768.17,Transfer
80,2024-02-28 16:21:55.147033,429.89,Withdrawal
81,2024-04-11 13:30:33.282198,544.36,Deposit
82,2024-04-19 17:35:30.348929,972.57,Transfer
83,2024-02-24 02:51:58.450257,848.66,Deposit
84,2024-02-17 16:26:37.419695,698.67,Transfer
85,2024-03-06 15:31:16.582684,557.78,Transfer
86,2024-02-27 06:40:04.967660,990.42,Deposit
87,2024-04-04 09:11:22.735840,534.12,Withdrawal
88,2024-03-30 02:04:49.499518,657.2,Transfer
89,2024-02-15 10:03:56.524177,687.58,Withdrawal
90,2024-04-21 01:11:42.750408,505.78,Withdrawal
91,2024-03-08 08:30:17.329151,91.22,Deposit
92,2024-01-10 16:45:02.974319,298.93,Withdrawal
93,2024-04-13 16:00:19.459544,115.9,Withdrawal
94,2024-01-09 12:42:36.118653,332.63,Withdrawal
95,2024-02-08 23:41:46.214640,718.08,Withdrawal
96,2024-01-23 10:47:20.935949,967.14,Withdrawal
97,2024-03-31 09:26:29.249681,354.85,Withdrawal
98,2024-04-24 04:01:22.082795,799.78,Transfer
99,2024-01-06 03:58:19.517985,966.26,Withdrawal
100,2024-01-27 20:23:27.714238,491.8,Transfer
101,2024-02-14 11:43:52.545804,569.74,Deposit
102,2024-01-24 13:57:07.887725,979.21,Withdrawal
103,2024-01-03 14:36:59.291986,631.53,Withdrawal
104,2024-03-24 16:22:56.141051,826.6,Withdrawal
105,2024-04-19 08:07:01.124692,167.39,Withdrawal
106,2024-03-09 00:01:55.177765,697.09,Withdrawal
107,2024-01-09 05:23:29.200287,861.36,Deposit
108,2024-04-30 03:13:48.548260,302.59,Deposit
109,2024-04-22 16:57:01.632761,269.56,Deposit
110,2024-01-14 08:11:34.498905,317.07,Withdrawal
111,2024-02-25 02:00:35.558994,735.61,Deposit
112,2024-03-18 14:42:36.250744,78.24,Withdrawal
113,2024-04-07 05:35:42.213195,352.96,Transfer
114,2024-03-24 21:41:12.032526,584.96,Transfer
115,2024-03-15 06:57:37.712437,320.89,Deposit
116,2024-03-21 13:18:33.198092,101.06,Withdrawal
117,2024-04-12 18:59:04.036515,286.98,Deposit
118,2024-04-16 21:35:39.815928,534.14,Transfer
119,2024-03-25 04:55:03.100766,706.42,Withdrawal
120,2024-01-30 15:01:38.705100,68.96,Deposit
121,2024-03-09 03:31:33.821069,231.0,Transfer
122,2024-04-04 23:58:17.474169,982.56,Deposit
123,2024-03-22 15:16:35.124670,790.84,Transfer
124,2024-04-03 12:57:51.997160,611.24,Withdrawal
125,2024-02-10 02:43:43.126398,214.88,Transfer
126,2024-04-23 05:44:56.889686,671.46,Transfer
127,2024-01-14 19:44:36.930905,181.15,Deposit
128,2024-04-07 11:32:26.807823,783.87,Deposit
129,2024-04-22 15:23:49.133299,401.83,Withdrawal
130,2024-04-13 02:34:57.000745,219.28,Withdrawal
131,2024-04-23 04:13:21.460376,510.08,Transfer
132,2024-01-02 20:08:40.849458,276.39,Withdrawal
133,2024-03-04 07:49:39.211736,588.64,Deposit
134,2024-01-27 16:59:48.317817,663.93,Transfer
135,2024-02-02 06:58:20.696378,300.85,Withdrawal
136,2024-01-23 22:32:00.159366,477.5,Deposit
137,2024-01-24 20:11:06.946736,318.97,Deposit
138,2024-02-08 00:21:01.178097,219.08,Deposit
139,2024-03-07 04:58:46.978179,308.11,Transfer
140,2024-04-18 09:21:43.149316,337.3,Deposit
141,2024-04-06 00:08:47.164966,741.15,Deposit
142,2024-03-09 04:21:15.745449,121.93,Transfer
143,2024-04-07 07:04:27.714122,22.24,Transfer
144,2024-02-07 00:40:57.424220,850.36,Withdrawal
145,2024-04-12 17:17:46.647552,10.17,Deposit
146,2024-03-11 12:29:48.876177,831.59,Withdrawal
147,2024-01-07 00:36:49.744357,774.42,Withdrawal
148,2024-04-21 16:24:57.271054,979.71,Transfer
149,2024-04-29 04:24:30.748163,154.96,Deposit
150,2024-02-19 02:56:44.749493,966.17,Deposit
151,2024-03-26 06:38:22.972566,50.23,Withdrawal
152,2024-03-20 22:58:35.490829,788.4,Deposit
153,2024-01-31 07:52:35.737101,837.31,Deposit
154,2024-02-24 20:13:59.042655,395.61,Deposit
155,2024-04-16 09:49:36.442817,302.03,Transfer
156,2024-04-09 20:35:28.584049,151.03,Deposit
157,2024-03-13 12:12:36.566699,901.12,Withdrawal
158,2024-03-15 09:11:42.453375,372.16,Deposit
159,2024-04-01 22:35:15.269170,50.02,Withdrawal
160,2024-02-05 17:01:36.447625,521.5,Withdrawal
161,2024-03-09 15:49:25.173098,486.7,Withdrawal
162,2024-01-07 16:24:59.503617,224.43,Transfer
163,2024-04-15 17:30:04.269051,357.01,Transfer
164,2024-02-08 23:35:33.342294,163.23,Transfer
165,2024-01-19 12:43:42.149908,452.13,Transfer
166,2024-03-01 06:09:42.196531,617.83,Transfer
167,2024-01-15 05:12:09.034326,802.16,Withdrawal
168,2024-02-10 16:34:04.245800,214.71,Deposit
169,2024-04-24 23:46:07.580429,287.46,Deposit
170,2024-02-04 12:14:28.356215,244.77,Withdrawal
171,2024-01-15 08:31:45.278948,807.61,Deposit
172,2024-02-07 07:20:17.660512,350.7,Withdrawal
173,2024-02-10 22:49:27.481916,850.41,Deposit
174,2024-02-24 10:54:56.022117,175.24,Deposit
175,2024-03-23 01:19:52.892139,865.6,Withdrawal
176,2024-04-09 20:35:44.679168,20.45,Transfer
177,2024-01-10 01:35:56.770758,228.39,Deposit
178,2024-03-14 10:15:07.801263,31.91,Deposit
179,2024-02-04 14:11:55.130017,206.74,Deposit
180,2024-01-29 14:35:43.209869,69.18,Transfer
181,2024-01-07 23:17:47.125919,354.19,Transfer
182,2024-04-06 00:45:21.695613,197.97,Transfer
183,2024-01-12 21:48:53.809177,110.21,Deposit
184,2024-04-09 03:29:22.441357,16.5,Deposit
185,2024-02-18 03:55:44.870507,726.34,Withdrawal
186,2024-04-24 07:17:54.564638,637.55,Transfer
187,2024-02-11 17:19:48.123322,269.93,Withdrawal
188,2024-04-23 13:16:22.647136,771.98,Deposit
189,2024-04-09 03:24:38.008753,476.48,Withdrawal
190,2024-01-23 05:38:50.999657,663.77,Transfer
191,2024-04-09 17:51:32.114999,495.03,Transfer
192,2024-02-10 08:58:46.823307,423.16,Transfer
193,2024-03-27 18:06:08.059445,949.12,Deposit
194,2024-04-29 20:28:59.330357,238.6,Deposit
195,2024-02-23 23:09:15.563329,868.46,Withdrawal
196,2024-01-11 10:49:29.884900,143.95,Withdrawal
197,2024-04-11 22:50:22.190409,548.07,Deposit
198,2024-01-20 11:56:02.929312,921.18,Deposit
199,2024-04-05 12:37:22.134040,697.67,Withdrawal
200,2024-01-17 11:07:39.469818,524.51,Transfer
201,2024-04-29 15:45:16.179304,314.69,Transfer
202,2024-04-15 04:55:28.458720,928.51,Deposit
203,2024-04-22 17:07:02.364199,708.21,Withdrawal
204,2024-03-30 15:04:20.653720,777.78,Deposit
205,2024-01-09 13:19:40.449665,642.46,Deposit
206,2024-03-08 01:57:24.838603,545.17,Deposit
207,2024-04-04 10:34:06.483818,289.43,Withdrawal
208,2024-01-22 01:11:22.516238,549.08,Deposit
209,2024-04-02 14:04:31.680435,888.39,Transfer
210,2024-02-27 13:28:19.019074,853.98,Deposit
211,2024-03-01 21:45:30.089557,162.72,Transfer
212,2024-03-17 07:44:17.758002,608.53,Transfer
213,2024-03-25 21:06:23.637919,252.78,Transfer
214,2024-04-23 03:17:32.361726,70.8,Withdrawal
215,2024-03-02 18:38:16.406704,268.64,Transfer
216,2024-04-03 17:49:09.256253,341.62,Withdrawal
217,2024-01-02 21:57:39.084342,201.15,Deposit
218,2024-01-28 09:33:56.036012,923.47,Withdrawal
219,2024-02-18 19:39:37.181322,845.61,Deposit
220,2024-03-10 19:02:59.721636,967.84,Transfer
221,2024-02-28 17:01:38.714322,905.62,Deposit
222,2024-03-21 01:18:57.693068,342.15,Deposit
223,2024-03-18 03:58:36.647684,695.43,Deposit
224,2024-03-21 03:59:00.987179,393.46,Deposit
225,2024-02-11 07:02:45.199203,193.1,Withdrawal
226,2024-04-26 09:55:11.175855,119.86,Withdrawal
227,2024-04-24 19:57:54.989451,118.27,Withdrawal
228,2024-02-04 17:25:21.586983,491.29,Transfer
229,2024-01-10 22:13:28.650021,169.64,Deposit
230,2024-04-12 19:00:45.026963,64.48,Transfer
231,2024-01-30 12:37:31.379906,291.8,Withdrawal
232,2024-04-10 23:30:27.092240,97.56,Withdrawal
233,2024-03-15 02:27:14.188610,132.94,Transfer
234,2024-04-02 23:42:17.387692,585.84,Deposit
235,2024-01-21 16:49:42.210662,278.74,Transfer
236,2024-03-17 09:19:18.391833,423.17,Deposit
237,2024-03-19 15:17:17.577151,693.91,Deposit
238,2024-01-30 23:50:06.411976,949.3,Withdrawal
239,2024-03-06 17:29:04.017594,445.27,Deposit
240,2024-03-16 20:39:22.003585,233.61,Withdrawal
241,2024-04-28 10:18:23.604498,370.07,Deposit
242,2024-04-02 20:25:26.030669,494.45,Deposit
243,2024-01-21 10:53:10.927336,811.39,Transfer
244,2024-03-31 19:15:23.364915,576.49,Withdrawal
245,2024-02-09 19:10:47.021381,810.24,Deposit
246,2024-01-07 17:06:13.521214,664.2,Transfer
247,2024-04-28 23:44:10.289778,825.47,Transfer
248,2024-01-28 14:34:37.562663,784.41,Deposit
249,2024-01-21 22:06:23.942584,245.7,Deposit
250,2024-04-26 09:55:26.123461,880.64,Deposit
251,2024-02-22 17:54:39.974441,17.79,Withdrawal
252,2024-02-19 18:22:26.468429,877.99,Deposit
253,2024-01-07 08:41:37.308582,974.39,Deposit
254,2024-03-10 19:30:27.417267,388.25,Withdrawal
255,2024-02-22 03:43:12.925211,711.37,Transfer
256,2024-03-07 03:16:57.710617,267.69,Transfer
257,2024-02-05 18:58:15.310662,322.39,Withdrawal
258,2024-01-26 12:10:36.641349,132.42,Deposit
259,2024-01-31 22:32:43.538559,594.44,Deposit
260,2024-02-29 18:42:59.066010,800.17,Transfer
261,2024-02-02 04:07:01.725407,365.45,Deposit
262,2024-01-20 08:54:14.323625,93.13,Withdrawal
263,2024-02-04 19:45:24.292419,26.11,Transfer
264,2024-01-08 10:22:14.628021,217.14,Transfer
265,2024-02-03 22:02:53.725807,890.25,Deposit
266,2024-04-24 20:51:46.834155,798.01,Deposit
267,2024-02-16 16:06:29.380186,344.36,Deposit
268,2024-03-07 21:25:30.631251,825.37,Deposit
269,2024-01-24 14:35:47.476628,509.97,Deposit
270,2024-02-10 13:14:42.219389,93.93,Withdrawal
271,2024-01-30 08:23:32.326832,901.21,Transfer
272,2024-02-15 05:53:13.694677,516.55,Withdrawal
273,2024-01-01 16:34:51.992485,345.59,Deposit
274,2024-04-28 09:13:54.721329,830.15,Deposit
275,2024-02-17 06:57:22.008067,138.09,Transfer
276,2024-01-29 04:41:25.280620,58.16,Withdrawal
277,2024-04-11 09:22:15.754959,98.42,Transfer
278,2024-02-01 05:10:49.594058,957.72,Transfer
279,2024-02-25 07:13:08.851454,324.21,Withdrawal
280,2024-02-20 07:51:21.918565,210.53,Transfer
281,2024-03-05 07:45:51.335733,847.82,Transfer
282,2024-01-06 22:44:36.668141,844.01,Deposit
283,2024-01-16 09:33:52.297317,665.65,Withdrawal
284,2024-03-17 15:41:13.340249,675.52,Withdrawal
285,2024-04-24 17:10:58.987485,967.62,Deposit
286,2024-04-11 08:24:33.652600,882.19,Transfer
287,2024-04-24 05:06:34.465637,884.96,Deposit
288,2024-01-05 19:54:25.451092,842.1,Deposit
289,2024-01-02 02:46:09.710504,64.24,Transfer
290,2024-02-10 12:44:10.451762,591.94,Deposit
291,2024-04-04 19:36:58.856612,155.93,Withdrawal
292,2024-01-27 11:35:12.057072,619.94,Withdrawal
293,2024-04-29 23:14:57.490157,150.98,Withdrawal
294,2024-01-20 17:59:33.516750,312.02,Deposit
295,2024-02-19 17:13:25.966337,301.24,Deposit
296,2024-02-13 12:51:58.116657,718.49,Withdrawal
297,2024-04-21 15:35:48.397259,470.6,Transfer
298,2024-04-06 05:41:39.244087,204.68,Withdrawal
299,2024-01-22 02:08:52.429005,866.81,Deposit
300,2024-01-22 03:35:19.715409,504.8,Transfer
301,2024-04-14 15:48:05.033144,73.07,Withdrawal
302,2024-01-09 02:14:12.217939,333.5,Withdrawal
303,2024-03-04 17:50:13.986378,73.33,Withdrawal
304,2024-02-19 01:36:32.017623,911.72,Deposit
305,2024-02-02 12:05:47.210743,822.22,Deposit
306,2024-01-05 16:46:58.305320,396.71,Withdrawal
307,2024-03-02 11:25:59.017498,116.61,Withdrawal
308,2024-01-31 15:20:21.758565,983.27,Deposit
309,2024-04-22 00:11:42.824557,388.55,Transfer
310,2024-01-24 05:40:02.871678,142.92,Withdrawal
311,2024-01-19 22:31:03.455040,73.97,Withdrawal
312,2024-01-14 23:26:17.429280,863.8,Withdrawal
313,2024-02-13 15:21:38.923696,290.39,Transfer
314,2024-02-19 16:13:52.637563,932.81,Deposit
315,2024-03-02 19:03:48.792822,944.82,Deposit
316,2024-04-14 18:30:08.478413,736.59,Transfer
317,2024-01-07 23:50:37.412961,206.04,Deposit
318,2024-02-28 05:23:59.800702,676.08,Deposit
319,2024-01-23 19:21:26.938688,668.43,Withdrawal
320,2024-02-03 10:39:35.392725,986.32,Withdrawal
321,2024-03-27 10:58:23.107341,877.47,Transfer
322,2024-03-26 18:21:22.847766,768.65,Deposit
323,2024-04-12 15:15:32.252728,810.36,Deposit
324,2024-04-22 08:27:00.657260,524.55,Transfer
325,2024-04-23 17:21:02.208532,634.77,Deposit
326,2024-02-13 11:29:21.132416,428.21,Withdrawal
327,2024-04-19 18:09:09.947675,217.67,Transfer
328,2024-03-11 20:00:16.970806,590.98,Transfer
329,2024-02-01 03:11:37.918969,716.61,Transfer
330,2024-02-06 20:46:52.677351,977.33,Transfer
331,2024-03-11 09:29:33.255710,606.12,Deposit
332,2024-03-19 09:04:39.349543,608.9,Withdrawal
333,2024-01-31 00:00:23.035849,784.91,Deposit
334,2024-03-10 16:40:06.034287,596.39,Withdrawal
335,2024-01-29 10:34:09.053245,312.14,Deposit
336,2024-03-30 02:38:24.692599,700.9,Withdrawal
337,2024-03-02 23:09:44.034354,841.01,Transfer
338,2024-03-23 03:16:56.545106,127.6,Withdrawal
339,2024-01-31 20:36:24.319014,439.99,Withdrawal
340,2024-04-17 08:03:55.439503,237.09,Deposit
341,2024-02-21 23:39:36.715540,326.64,Deposit
342,2024-03-28 06:59:05.184669,245.87,Withdrawal
343,2024-02-29 11:06:19.401491,424.03,Transfer
344,2024-02-16 08:26:28.214425,743.31,Withdrawal
345,2024-02-10 05:51:45.869302,711.17,Transfer
346,2024-02-11 02:31:38.648288,724.86,Withdrawal
347,2024-02-12 18:28:53.415220,818.68,Deposit
348,2024-04-24 13:30:16.467373,690.49,Deposit
349,2024-01-13 14:25:46.913048,794.48,Deposit
350,2024-02-12 06:10:30.493697,150.42,Deposit
351,2024-01-05 21:43:55.358598,186.29,Transfer
352,2024-01-17 20:59:07.763217,724.13,Withdrawal
353,2024-01-13 19:07:11.013144,537.15,Deposit
354,2024-03-16 02:54:31.387165,836.9,Transfer
355,2024-04-11 23:15:50.180070,919.96,Transfer
356,2024-04-02 19:53:34.368822,297.22,Deposit
357,2024-04-02 05:11:38.134627,891.77,Transfer
358,2024-01-14 00:58:21.707665,80.42,Transfer
359,2024-02-16 04:21:22.087752,455.59,Transfer
360,2024-01-29 22:30:43.720086,918.29,Withdrawal
361,2024-04-29 18:08:51.894881,221.29,Deposit
362,2024-04-05 15:29:34.792721,942.52,Withdrawal
363,2024-02-13 23:14:00.035063,934.48,Withdrawal
364,2024-04-25 16:03:25.395373,376.55,Withdrawal
365,2024-01-20 06:28:13.126651,637.77,Transfer
366,2024-02-24 12:40:09.502366,123.36,Withdrawal
367,2024-04-14 09:26:00.144663,161.84,Withdrawal
368,2024-02-07 03:13:00.997064,638.12,Withdrawal
369,2024-01-19 02:49:31.798347,101.85,Withdrawal
370,2024-04-24 11:19:59.506217,993.8,Withdrawal
371,2024-04-29 14:18:47.460618,355.07,Transfer
372,2024-01-07 07:36:07.803099,817.73,Transfer
373,2024-03-30 10:49:46.602398,81.91,Transfer
374,2024-02-04 00:50:21.994068,685.31,Withdrawal
375,2024-03-21 02:22:10.053917,918.85,Deposit
376,2024-01-03 23:08:20.675369,57.36,Deposit
377,2024-04-23 14:57:32.356249,277.21,Deposit
378,2024-04-21 13:35:30.971915,562.93,Deposit
379,2024-03-09 16:21:07.473895,226.6,Withdrawal
380,2024-04-23 07:54:45.374607,927.66,Deposit
381,2024-01-18 21:10:30.978271,62.61,Deposit
382,2024-02-10 12:34:42.668383,741.7,Transfer
383,2024-03-29 01:12:53.547858,571.59,Withdrawal
384,2024-02-24 01:51:07.882114,121.63,Transfer
385,2024-02-12 19:51:14.576840,183.2,Transfer
386,2024-04-08 20:10:14.076976,627.56,Transfer
387,2024-04-12 23:27:45.151461,151.22,Transfer
388,2024-02-29 09:33:50.858901,422.15,Deposit
389,2024-04-13 17:37:44.169703,823.72,Transfer
390,2024-01-06 22:11:37.491686,76.47,Deposit
391,2024-02-26 21:27:14.574386,150.27,Transfer
392,2024-01-22 16:52:49.986270,52.21,Withdrawal
393,2024-03-17 06:07:53.523038,924.24,Deposit
394,2024-03-11 16:58:41.333621,330.42,Deposit
395,2024-04-03 13:44:12.376737,141.88,Transfer
396,2024-01-17 06:40:15.028212,685.54,Transfer
397,2024-01-15 11:14:53.741105,823.11,Withdrawal
398,2024-01-07 23:15:44.456592,208.51,Deposit
399,2024-03-15 15:10:52.342369,554.05,Deposit
400,2024-04-08 13:20:33.463179,289.77,Withdrawal
401,2024-01-23 02:20:53.899065,894.05,Withdrawal
402,2024-02-29 18:10:32.971953,31.08,Deposit
403,2024-01-08 21:30:44.233790,923.47,Withdrawal
404,2024-01-24 02:26:31.810302,960.7,Withdrawal
405,2024-02-04 11:24:44.086686,849.12,Withdrawal
406,2024-01-02 03:49:14.679593,785.63,Transfer
407,2024-02-03 17:13:18.618772,525.13,Withdrawal
408,2024-04-06 15:33:34.161318,237.47,Deposit
409,2024-02-04 23:36:54.974047,745.43,Deposit
410,2024-03-04 07:20:55.445796,950.42,Withdrawal
411,2024-01-31 10:03:05.441991,304.38,Withdrawal
412,2024-01-06 12:05:18.613725,444.53,Deposit
413,2024-04-14 19:38:11.719845,675.36,Deposit
414,2024-01-02 18:54:50.810915,289.77,Deposit
415,2024-04-16 22:48:32.757833,495.32,Transfer
416,2024-01-05 12:05:49.354789,605.05,Transfer
417,2024-03-25 23:49:41.754946,540.65,Transfer
418,2024-03-02 15:31:07.914821,803.27,Withdrawal
419,2024-03-20 18:49:34.282072,863.36,Deposit
420,2024-02-01 19:36:10.603333,382.81,Withdrawal
421,2024-03-19 20:24:32.380437,152.33,Transfer
422,2024-01-22 04:21:21.537047,275.46,Deposit
423,2024-03-30 05:54:33.321766,886.65,Withdrawal
424,2024-01-19 12:50:32.191139,608.47,Withdrawal
425,2024-03-05 03:46:30.862812,76.1,Transfer
426,2024-01-02 17:14:44.117010,591.44,Withdrawal
427,2024-01-07 16:24:19.647825,431.15,Withdrawal
428,2024-03-27 07:41:49.719764,562.33,Withdrawal
429,2024-02-17 16:02:38.708451,507.77,Deposit
430,2024-04-25 21:37:38.468454,616.79,Transfer
431,2024-01-22 06:16:00.160580,521.18,Transfer
432,2024-04-09 18:44:38.494516,570.53,Withdrawal
433,2024-03-21 10:56:06.002562,708.85,Deposit
434,2024-02-24 02:49:04.854409,993.82,Withdrawal
435,2024-01-17 05:35:58.115725,329.15,Deposit
436,2024-01-31 17:34:51.743293,487.73,Withdrawal
437,2024-02-14 00:17:48.296897,790.68,Deposit
438,2024-03-28 20:09:19.156110,886.73,Deposit
439,2024-01-25 17:09:51.891211,187.72,Withdrawal
440,2024-01-31 23:53:18.877743,507.04,Withdrawal
441,2024-03-08 22:13:32.096063,192.09,Transfer
442,2024-04-27 07:39:43.181964,608.58,Deposit
443,2024-04-20 06:39:15.610178,480.85,Transfer
444,2024-03-17 17:38:48.837079,456.98,Withdrawal
445,2024-04-01 14:25:52.463612,769.21,Transfer
446,2024-03-03 09:33:27.013914,406.05,Deposit
447,2024-01-15 01:07:26.788531,687.52,Withdrawal
448,2024-04-25 04:04:51.275007,798.79,Withdrawal
449,2024-02-01 13:06:47.955471,717.62,Withdrawal
450,2024-03-28 16:13:59.112429,945.34,Deposit
451,2024-01-10 15:15:08.780860,972.68,Transfer
452,2024-01-25 14:04:58.249802,573.71,Transfer
453,2024-04-30 06:06:29.955325,799.3,Deposit
454,2024-02-19 02:01:54.876406,325.67,Transfer
455,2024-04-22 18:22:59.240399,497.68,Deposit
456,2024-03-27 12:22:06.186967,926.04,Withdrawal
457,2024-01-10 18:29:19.231849,957.14,Withdrawal
458,2024-02-14 18:29:32.127133,975.24,Withdrawal
459,2024-04-25 16:58:21.678619,783.42,Withdrawal
460,2024-04-17 17:42:43.414336,566.22,Withdrawal
461,2024-02-08 23:45:45.311830,262.8,Transfer
462,2024-03-17 21:08:02.211834,974.49,Deposit
463,2024-01-29 01:58:42.507572,890.5,Withdrawal
464,2024-04-27 15:56:23.121380,109.89,Transfer
465,2024-04-11 08:39:21.933933,868.86,Transfer
466,2024-01-02 15:32:24.102691,366.26,Withdrawal
467,2024-04-23 23:56:54.489907,54.92,Deposit
468,2024-04-06 12:46:24.260745,969.04,Withdrawal
469,2024-04-07 20:42:35.832540,233.3,Deposit
470,2024-03-25 22:49:24.969340,635.56,Deposit
471,2024-01-24 15:50:52.275025,343.88,Deposit
472,2024-03-16 17:05:23.446416,557.77,Deposit
473,2024-04-05 18:44:23.703566,380.73,Deposit
474,2024-02-04 11:11:30.867055,258.82,Transfer
475,2024-01-26 19:01:54.422677,893.71,Deposit
476,2024-02-05 04:41:23.124320,876.48,Deposit
477,2024-01-19 21:19:03.795197,866.52,Withdrawal
478,2024-01-26 13:05:36.051801,871.69,Transfer
479,2024-03-16 01:47:15.623002,672.38,Deposit
480,2024-03-04 04:32:41.156534,651.8,Transfer
481,2024-01-22 11:39:25.967257,343.63,Withdrawal
482,2024-02-18 20:21:21.862101,360.26,Deposit
483,2024-02-15 23:30:12.410803,153.92,Withdrawal
484,2024-02-02 07:07:43.931280,326.95,Withdrawal
485,2024-03-10 00:55:20.104835,578.52,Deposit
486,2024-02-26 14:18:07.867943,986.34,Deposit
487,2024-03-22 12:59:38.436750,735.23,Deposit
488,2024-02-07 17:00:26.258865,504.69,Deposit
489,2024-03-23 13:47:24.197578,935.68,Deposit
490,2024-02-03 04:39:03.559840,51.17,Deposit
491,2024-03-05 20:06:14.528332,410.2,Withdrawal
492,2024-02-01 14:53:45.557512,967.1,Withdrawal
493,2024-03-28 04:49:24.179694,213.97,Transfer
494,2024-04-21 15:30:27.558266,415.11,Deposit
495,2024-01-28 14:56:06.287564,955.76,Transfer
496,2024-03-07 14:55:52.220640,249.33,Transfer
497,2024-04-16 23:35:29.953103,73.01,Deposit
498,2024-02-23 03:17:36.781269,15.84,Deposit
499,2024-02-09 07:48:20.626626,484.34,Deposit
500,2024-03-03 20:56:42.130497,426.93,Withdrawal
501,2024-04-29 21:18:03.415237,149.92,Deposit
502,2024-02-25 00:00:18.404757,579.32,Deposit
